"","MA.id","CDSR.id","outcome","modelname","col.group","num_studies","est","se","low","up","width","tau","elpd_waic","p_waic","waic","se_elpd_waic","se_p_waic","se_waic"
"7945",663,"CD012780","MD","ivfe","Frequentist",6,-0.292650226011369,0.327316334819707,-0.934178453809648,0.348878001786909,1.28305645559656,NA,NA,NA,NA,NA,NA,NA
"7946",663,"CD012780","MD","ivre","Frequentist",6,-0.262683365406253,0.0730329470422708,-0.405825311293925,-0.119541419518581,0.286283891775344,0,NA,NA,NA,NA,NA,NA
"7947",663,"CD012780","MD","htebayesian","Bayesian",6,-0.178574572678346,0.414776216516405,-1.01363580548057,0.617265972006401,1.63090177748697,0.320295165807092,-1.83205665078053,1.48970368029596,3.66411330156106,0.163459994278519,0.190738182770881,0.326919988557039
"7948",663,"CD012780","MD","ctebayesian","Bayesian",6,-0.181035682745642,0.312118650688781,-0.792607327421471,0.432471918657546,1.22507924607902,NA,NA,NA,NA,NA,NA,NA
"7949",663,"CD012780","Cohen's d","ivfe","Frequentist",6,-0.0650387198324034,0.0727020683916769,-0.207532155481658,0.0774547158168511,0.284986871298509,NA,NA,NA,NA,NA,NA,NA
"7950",663,"CD012780","Cohen's d","ivre","Frequentist",6,-0.0650387198324034,0.0727020683916769,-0.207532155481658,0.0774547158168511,0.284986871298509,0,NA,NA,NA,NA,NA,NA
"7951",663,"CD012780","Cohen's d","htebayesian","Bayesian",6,-0.07229201354655,1.06765998274917,-2.15888844444773,1.97733671843019,4.13622516287792,0.843406847312846,-4.42778966535535,9.61903515534471,8.85557933071071,0.173954326934287,0.686798931611217,0.347908653868574
"7952",663,"CD012780","Cohen's d","ctebayesian","Bayesian",6,-0.135307260550514,0.862931859155921,-1.81241350829382,1.57106690093506,3.38348040922888,NA,NA,NA,NA,NA,NA,NA
"7953",663,"CD012780","Hedge's g","ivfe","Frequentist",6,-0.106688670062047,0.415399755878069,-0.920857230769792,0.707479890645698,1.62833712141549,NA,NA,NA,NA,NA,NA,NA
"7954",663,"CD012780","Hedge's g","ivre","Frequentist",6,-0.106688670062047,0.415399755878069,-0.920857230769792,0.707479890645698,1.62833712141549,0,NA,NA,NA,NA,NA,NA
"7955",663,"CD012780","Hedge's g","htebayesian","Bayesian",6,-0.105684241392831,0.491212332376785,-1.06102873833859,0.866605632013041,1.92763437035163,0.382818987742379,-1.63293606470502,2.00623494573974,3.26587212941003,0.0928991153499339,0.00561567119995373,0.185798230699868
"7956",663,"CD012780","Hedge's g","ctebayesian","Bayesian",6,-0.109599770911071,0.40480054235193,-0.897394594107763,0.695790461819398,1.59318505592716,NA,NA,NA,NA,NA,NA,NA
"7957",664,"CD012780","MD","ivfe","Frequentist",6,-0.0783404525826435,0.34052087704655,-0.745749107577873,0.589068202412586,1.33481730999046,NA,NA,NA,NA,NA,NA,NA
"7958",664,"CD012780","MD","ivre","Frequentist",6,-0.170624733996517,0.188690823318765,-0.540451951914508,0.199202483921473,0.73965443583598,0.41224162724153,NA,NA,NA,NA,NA,NA
"7959",664,"CD012780","MD","htebayesian","Bayesian",6,-0.2219925011702,0.48849398717464,-1.16904813936653,0.721886326665483,1.89093446603201,0.421546614322419,-2.31662603279318,2.06424206321465,4.63325206558636,0.293451362409527,0.154333818878441,0.586902724819054
"7960",664,"CD012780","MD","ctebayesian","Bayesian",6,-0.237716849828409,0.379300550068251,-0.980798360290417,0.505356855021728,1.48615521531215,NA,NA,NA,NA,NA,NA,NA
"7961",664,"CD012780","Cohen's d","ivfe","Frequentist",6,-0.0231722911556538,0.0694538323285028,-0.159299301107803,0.112954718796495,0.272254019904298,NA,NA,NA,NA,NA,NA,NA
"7962",664,"CD012780","Cohen's d","ivre","Frequentist",6,-0.0231722911556538,0.0694538323285028,-0.159299301107803,0.112954718796495,0.272254019904298,0,NA,NA,NA,NA,NA,NA
"7963",664,"CD012780","Cohen's d","htebayesian","Bayesian",6,-0.00330863972406924,1.12009975252867,-2.24671618169192,2.13732709696095,4.38404327865287,0.822060368209426,-4.14454960964521,10.2209945631542,8.28909921929042,0.105590341636277,0.585278347985701,0.211180683272554
"7964",664,"CD012780","Cohen's d","ctebayesian","Bayesian",6,-0.0233386968764327,0.903566687641502,-1.81220214072047,1.75785636158286,3.57005850230333,NA,NA,NA,NA,NA,NA,NA
"7965",664,"CD012780","Hedge's g","ivfe","Frequentist",6,-0.0193758986227675,0.413892811122199,-0.830590901882316,0.791839104636781,1.6224300065191,NA,NA,NA,NA,NA,NA,NA
